Time,Mag_X,Mag_Y,Mag_Z,Raw_Roll,Raw_Pitch,Raw_Yaw
7610,-9.75,-37.19,46.19,1.1,-1.99,-153.4
7610,-9.75,-37.19,46.19,1.1,-1.99,-153.4
7610,-9.75,-37.19,46.19,1.1,-1.99,-153.4
7610,-9.75,-37.19,46.19,1.1,-1.99,-153.4
7610,-8.88,-35.31,45.69,1.1,-1.99,-153.88
7610,-8.88,-35.31,45.69,1.33,-1.99,-153.88
7610,-8.88,-35.31,45.69,1.33,-1.99,-153.88
7610,-8.88,-35.31,45.69,1.33,-1.99,-153.88
7610,-8.88,-35.31,45.69,1.33,-1.99,-153.88
7610,-9.88,-38.13,45.31,1.33,-1.99,-153.71
7610,-9.88,-38.13,45.31,1.1,-1.99,-153.71
7610,-9.88,-38.13,45.31,1.1,-1.99,-153.71
7610,-9.88,-38.13,45.31,1.1,-1.99,-153.71
7610,-9.88,-38.13,45.31,1.1,-1.99,-153.71
7610,-11.13,-40.69,43.38,1.1,-1.99,-153.08
7610,-11.13,-40.69,43.38,1.32,-1.98,-153.08
7610,-11.13,-40.69,43.38,1.32,-1.98,-153.08
7610,-11.13,-40.69,43.38,1.32,-1.98,-153.08
7610,-11.13,-40.69,43.38,1.32,-1.98,-153.08
7610,-10.69,-44,40.25,1.32,-1.98,-154.95
7610,-10.69,-44,40.25,0.88,-1.77,-154.95
7610,-10.69,-44,40.25,0.88,-1.77,-154.95
7610,-10.69,-44,40.25,0.88,-1.77,-154.95
7610,-10.69,-44,40.25,0.88,-1.77,-154.95
7610,-10.88,-52.06,32.69,0.88,-1.77,-157.26
7610,-10.88,-52.06,32.69,0.87,-1.99,-157.26
7610,-10.88,-52.06,32.69,0.87,-1.99,-157.26
7610,-10.88,-52.06,32.69,0.87,-1.99,-157.26
7610,-10.88,-52.06,32.69,0.87,-1.99,-157.26
7610,-7.87,-65.37,15.38,0.87,-1.99,-162.7
7610,-7.87,-65.37,15.38,1.33,-2.22,-162.7
7611,-7.87,-65.37,15.38,1.33,-2.22,-162.7
7611,-7.87,-65.37,15.38,1.33,-2.22,-162.7
7611,-7.87,-65.37,15.38,1.33,-2.22,-162.7
7611,1.12,-72.37,-2,1.33,-2.22,-170.95
7611,1.12,-72.37,-2,1.33,-2.22,-170.95
7611,1.12,-72.37,-2,1.55,-1.99,-170.95
7611,1.12,-72.37,-2,1.55,-1.99,-170.95
